amplicon,sample_name,sample_title,sra_title,block,unique_id,drought,inoculum,fire_freq,species,sra_accession,sra_bioproject,filename_r1,filename_r2,wilting_scale,bud_number,leaf_number,leaf_length,height,nodule_num,shoot_dm,final_root_dm,seqtab_rows,inoculum_site,inoculum_burn_freq,mean_NO3,mean_NH4,mean_P,mean_K,mean_SO4_S,mean_B,mean_OM,mean_pH,mean_EC,mean_Zn,mean_Mn,mean_Cu,mean_Fe,mean_Ca,mean_Mg,mean_Na,mean_TKN,mean_C_N_ratio,mean_Sand,mean_Silt,mean_Clay,host,other_frompreviouscolumn
16S,R-012,R-012_16S,16S amplicons from Snowbrush sample R-012,1,Q012,D,0Burn_W2,0,Snowbrush,SRR27554239,PRJNA1064977,R-012_S73_L001_R1_001.fastq.gz,R-012_S73_L001_R2_001.fastq.gz,3,0,21,2.6,6.1,0,0.5126,0.8267,R-012,2,0,1.33333333333333,8.1,7.66666666666667,92.3333333333333,6,0.043333333333333,6.40666666666667,6.16666666666667,0.086666666666667,0.266666666666667,16,0.433333333333333,29,1.83333333333333,0.333333333333333,0.036666666666667,0.166333333333333,26.2156666666667,80.8,18.8,0.4,Ceanothus velutinus,NA
16S,R-013,R-013_16S,16S amplicons from GrandFir sample R-013,1,Q013,ND,1Burn_W4,1,GrandFir,SRR27554164,PRJNA1064977,R-013_S100_L001_R1_001.fastq.gz,R-013_S100_L001_R2_001.fastq.gz,1,11,96,2.8,8,NA,0.6941,1.0554,R-013,4,1,4.16666666666667,10.4333333333333,8.33333333333333,72.3333333333333,9.66666666666667,0.05,5.97666666666667,6,0.033333333333333,0.333333333333333,12.2,0.733333333333333,20.6666666666667,1.5,0.333333333333333,0.056666666666667,0.103,17.1983333333333,88.8,10.8,0.4,Abies grandis,NA
16S,R-014,R-014_16S,16S amplicons from Snowbrush sample R-014,1,Q014,ND,3Burn_W5,3,Snowbrush,SRR27554153,PRJNA1064977,R-014_S85_L001_R1_001.fastq.gz,R-014_S85_L001_R2_001.fastq.gz,1,0,29,3.9,6.7,5,0.8006,1.5315,R-014,5,3,14.5333333333333,7.16666666666667,7,82,4.33333333333333,0.153333333333333,7.07333333333333,6.3,0.113333333333333,0.866666666666667,15.5666666666667,0.833333333333333,23,4.96666666666667,0.566666666666667,0.05,0.239333333333333,17.4663333333333,86.8,10.8,2.4,Ceanothus velutinus,NA
16S,R-015,R-015_16S,16S amplicons from GrandFir sample R-015,1,Q015,ND,Sterile,NA,GrandFir,SRR27554142,PRJNA1064977,R-015_S112_L001_R1_001.fastq.gz,R-015_S112_L001_R2_001.fastq.gz,1,4,37,2.5,5.2,NA,0.154,0.2218,R-015,Sterile,NA,2.45,19.1,6.16666666666667,52.8333333333333,8.5,0.04,4.825,5.73333333333333,0.11,0.25,63.2833333333333,0.533333333333333,14.8333333333333,1.55,0.3,0.07,0.110333333333333,25.6353333333333,88.8,10.8,0.4,Abies grandis,NA
16S,R-016,R-016_16S,16S amplicons from Snowbrush sample R-016,1,Q016,ND,Sterile,NA,Snowbrush,SRR27554227,PRJNA1064977,R-016_S2_L001_R1_001.fastq.gz,R-016_S2_L001_R2_001.fastq.gz,1,0,37,2.8,6.5,0,0.7286,0.6572,R-016,Sterile,NA,2.45,19.1,6.16666666666667,52.8333333333333,8.5,0.04,4.825,5.73333333333333,0.11,0.25,63.2833333333333,0.533333333333333,14.8333333333333,1.55,0.3,0.07,0.110333333333333,25.6353333333333,88.8,10.8,0.4,Ceanothus velutinus,NA
16S,R-017,R-017_16S,16S amplicons from Snowbrush sample R-017,1,Q017,ND,3Burn_W6,3,Snowbrush,SRR27554216,PRJNA1064977,R-017_S14_L001_R1_001.fastq.gz,R-017_S14_L001_R2_001.fastq.gz,1,0,26,2.7,5.8,64,0.6707,0.6419,R-017,6,3,8.53333333333333,6.2,7.66666666666667,59.3333333333333,4.66666666666667,0.103333333333333,5.67,5.73333333333333,0.053333333333333,0.733333333333333,10.2333333333333,0.766666666666667,23,2.86666666666667,0.4,0.046666666666667,0.156666666666667,21.452,90.8,8.8,0.4,Ceanothus velutinus,NA
16S,R-018,R-018_16S,16S amplicons from Snowbrush sample R-018,1,Q018,D,3Burn_W6,3,Snowbrush,SRR27554065,PRJNA1064977,R-018_S26_L001_R1_001.fastq.gz,R-018_S26_L001_R2_001.fastq.gz,6,0,28,2.6,5.7,7,0.4913,0.7383,R-018,6,3,8.53333333333333,6.2,7.66666666666667,59.3333333333333,4.66666666666667,0.103333333333333,5.67,5.73333333333333,0.053333333333333,0.733333333333333,10.2333333333333,0.766666666666667,23,2.86666666666667,0.4,0.046666666666667,0.156666666666667,21.452,90.8,8.8,0.4,Ceanothus velutinus,NA
16S,R-019,R-019_16S,16S amplicons from Snowbrush sample R-019,1,Q019,D,3Burn_W5,3,Snowbrush,SRR27554054,PRJNA1064977,R-019_S38_L001_R1_001.fastq.gz,R-019_S38_L001_R2_001.fastq.gz,6,0,35,2.6,5.2,9,0.5319,1.5298,R-019,5,3,14.5333333333333,7.16666666666667,7,82,4.33333333333333,0.153333333333333,7.07333333333333,6.3,0.113333333333333,0.866666666666667,15.5666666666667,0.833333333333333,23,4.96666666666667,0.566666666666667,0.05,0.239333333333333,17.4663333333333,86.8,10.8,2.4,Ceanothus velutinus,NA
16S,R-020,R-020_16S,16S amplicons from Snowbrush sample R-020,1,Q020,D,0Burn_W1,0,Snowbrush,SRR27554043,PRJNA1064977,R-020_S50_L001_R1_001.fastq.gz,R-020_S50_L001_R2_001.fastq.gz,6,0,26,1.7,4.6,2,0.4236,0.4938,R-020,1,0,1.36666666666667,10.0666666666667,10,108,12,0.036666666666667,7.89333333333333,5.96666666666667,0.096666666666667,0.733333333333333,26.3,0.533333333333333,58,1.66666666666667,0.4,0.043333333333333,0.179,26.3323333333333,80.8,18.8,0.4,Ceanothus velutinus,NA
16S,R-021,R-021_16S,16S amplicons from Snowbrush sample R-021,1,Q021,D,1Burn_W4,1,Snowbrush,SRR27554000,PRJNA1064977,R-021_S62_L001_R1_001.fastq.gz,R-021_S62_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,0,0.8439,1.0848,R-021,4,1,4.16666666666667,10.4333333333333,8.33333333333333,72.3333333333333,9.66666666666667,0.05,5.97666666666667,6,0.033333333333333,0.333333333333333,12.2,0.733333333333333,20.6666666666667,1.5,0.333333333333333,0.056666666666667,0.103,17.1983333333333,88.8,10.8,0.4,Ceanothus velutinus,NA
16S,R-022,R-022_16S,16S amplicons from Snowbrush sample R-022,1,Q022,ND,0Burn_W1,0,Snowbrush,SRR27553988,PRJNA1064977,R-022_S74_L001_R1_001.fastq.gz,R-022_S74_L001_R2_001.fastq.gz,1,NA,NA,NA,5.1,0,0.5135,0.6455,R-022,1,0,1.36666666666667,10.0666666666667,10,108,12,0.036666666666667,7.89333333333333,5.96666666666667,0.096666666666667,0.733333333333333,26.3,0.533333333333333,58,1.66666666666667,0.4,0.043333333333333,0.179,26.3323333333333,80.8,18.8,0.4,Ceanothus velutinus,NA
16S,R-023,R-023_16S,16S amplicons from GrandFir sample R-023,1,Q023,D,0Burn_W2,0,GrandFir,SRR27553977,PRJNA1064977,R-023_S124_L001_R1_001.fastq.gz,R-023_S124_L001_R2_001.fastq.gz,1,11,59,2.4,7.6,NA,0.3709,0.6077,R-023,2,0,1.33333333333333,8.1,7.66666666666667,92.3333333333333,6,0.043333333333333,6.40666666666667,6.16666666666667,0.086666666666667,0.266666666666667,16,0.433333333333333,29,1.83333333333333,0.333333333333333,0.036666666666667,0.166333333333333,26.2156666666667,80.8,18.8,0.4,Abies grandis,NA
16S,R-024,R-024_16S,16S amplicons from GrandFir sample R-024,1,Q024,D,3Burn_W5,3,GrandFir,SRR27554138,PRJNA1064977,R-024_S136_L001_R1_001.fastq.gz,R-024_S136_L001_R2_001.fastq.gz,1,7,48,4,7.9,NA,0.4483,0.829,R-024,5,3,14.5333333333333,7.16666666666667,7,82,4.33333333333333,0.153333333333333,7.07333333333333,6.3,0.113333333333333,0.866666666666667,15.5666666666667,0.833333333333333,23,4.96666666666667,0.566666666666667,0.05,0.239333333333333,17.4663333333333,86.8,10.8,2.4,Abies grandis,NA
16S,R-025,R-025_16S,16S amplicons from GrandFir sample R-025,1,Q025,D,0Burn_W1,0,GrandFir,SRR27554127,PRJNA1064977,R-025_S148_L001_R1_001.fastq.gz,R-025_S148_L001_R2_001.fastq.gz,1,6,49,2.2,6.5,NA,0.2379,0.3956,R-025,1,0,1.36666666666667,10.0666666666667,10,108,12,0.036666666666667,7.89333333333333,5.96666666666667,0.096666666666667,0.733333333333333,26.3,0.533333333333333,58,1.66666666666667,0.4,0.043333333333333,0.179,26.3323333333333,80.8,18.8,0.4,Abies grandis,NA
16S,R-026,R-026_16S,16S amplicons from GrandFir sample R-026,1,Q026,D,1Burn_W3,1,GrandFir,SRR27554116,PRJNA1064977,R-026_S160_L001_R1_001.fastq.gz,R-026_S160_L001_R2_001.fastq.gz,1,8,28,1.4,5.7,NA,0.1566,0.2113,R-026,3,1,1.7,4.96666666666667,7.33333333333333,61.6666666666667,11.3333333333333,0.07,5.18333333333333,6.36666666666667,0.416666666666667,0.1,10.1,0.666666666666667,15.3333333333333,2.03333333333333,0.3,0.04,0.099,27.1886666666667,82.8,16.8,0.4,Abies grandis,NA
16S,R-027,R-027_16S,16S amplicons from GrandFir sample R-027,1,Q027,ND,0Burn_W1,0,GrandFir,SRR27554201,PRJNA1064977,R-027_S172_L001_R1_001.fastq.gz,R-027_S172_L001_R2_001.fastq.gz,1,5,69,2.5,6.5,NA,0.3529,0.7022,R-027,1,0,1.36666666666667,10.0666666666667,10,108,12,0.036666666666667,7.89333333333333,5.96666666666667,0.096666666666667,0.733333333333333,26.3,0.533333333333333,58,1.66666666666667,0.4,0.043333333333333,0.179,26.3323333333333,80.8,18.8,0.4,Abies grandis,NA
16S,R-028,R-028_16S,16S amplicons from Snowbrush sample R-028,1,Q028,ND,1Burn_W3,1,Snowbrush,SRR27554190,PRJNA1064977,R-028_S86_L001_R1_001.fastq.gz,R-028_S86_L001_R2_001.fastq.gz,3,0,15,1.8,3.5,0,0.4076,0.7482,R-028,3,1,1.7,4.96666666666667,7.33333333333333,61.6666666666667,11.3333333333333,0.07,5.18333333333333,6.36666666666667,0.416666666666667,0.1,10.1,0.666666666666667,15.3333333333333,2.03333333333333,0.3,0.04,0.099,27.1886666666667,82.8,16.8,0.4,Ceanothus velutinus,NA
16S,R-043,R-043_16S,16S amplicons from GrandFir sample R-043,2,Q043,ND,1Burn_W3,1,GrandFir,SRR27554179,PRJNA1064977,R-043_S184_L001_R1_001.fastq.gz,R-043_S184_L001_R2_001.fastq.gz,1,4,41,1.8,4.5,NA,0.1412,0.1743,R-043,3,1,1.7,4.96666666666667,7.33333333333333,61.6666666666667,11.3333333333333,0.07,5.18333333333333,6.36666666666667,0.416666666666667,0.1,10.1,0.666666666666667,15.3333333333333,2.03333333333333,0.3,0.04,0.099,27.1886666666667,82.8,16.8,0.4,Abies grandis,NA
16S,R-057,R-057_16S,16S amplicons from Snowbrush sample R-057,3,Q057,ND,1Burn_W4,1,Snowbrush,SRR27554028,PRJNA1064977,R-057_S15_L001_R1_001.fastq.gz,R-057_S15_L001_R2_001.fastq.gz,1,0,22,3,6.5,0,0.5399,0.9358,R-057,4,1,4.16666666666667,10.4333333333333,8.33333333333333,72.3333333333333,9.66666666666667,0.05,5.97666666666667,6,0.033333333333333,0.333333333333333,12.2,0.733333333333333,20.6666666666667,1.5,0.333333333333333,0.056666666666667,0.103,17.1983333333333,88.8,10.8,0.4,Ceanothus velutinus,NA
16S,R-058,R-058_16S,16S amplicons from GrandFir sample R-058,3,Q058,D,3Burn_W6,3,GrandFir,SRR27554017,PRJNA1064977,R-058_S101_L001_R1_001.fastq.gz,R-058_S101_L001_R2_001.fastq.gz,1,4,52,1.7,6.4,NA,0.2137,0.3377,R-058,6,3,8.53333333333333,6.2,7.66666666666667,59.3333333333333,4.66666666666667,0.103333333333333,5.67,5.73333333333333,0.053333333333333,0.733333333333333,10.2333333333333,0.766666666666667,23,2.86666666666667,0.4,0.046666666666667,0.156666666666667,21.452,90.8,8.8,0.4,Abies grandis,NA
16S,R-059,R-059_16S,16S amplicons from GrandFir sample R-059,3,Q059,ND,1Burn_W4,1,GrandFir,SRR27554005,PRJNA1064977,R-059_S113_L001_R1_001.fastq.gz,R-059_S113_L001_R2_001.fastq.gz,1,7,46,2.5,7.9,NA,0.34,0.838,R-059,4,1,4.16666666666667,10.4333333333333,8.33333333333333,72.3333333333333,9.66666666666667,0.05,5.97666666666667,6,0.033333333333333,0.333333333333333,12.2,0.733333333333333,20.6666666666667,1.5,0.333333333333333,0.056666666666667,0.103,17.1983333333333,88.8,10.8,0.4,Abies grandis,NA
16S,R-060,R-060_16S,16S amplicons from GrandFir sample R-060,3,Q060,ND,Sterile,NA,GrandFir,SRR27553962,PRJNA1064977,R-060_S125_L001_R1_001.fastq.gz,R-060_S125_L001_R2_001.fastq.gz,1,3,54,1.5,6.5,NA,0.1755,0.1646,R-060,Sterile,NA,2.45,19.1,6.16666666666667,52.8333333333333,8.5,0.04,4.825,5.73333333333333,0.11,0.25,63.2833333333333,0.533333333333333,14.8333333333333,1.55,0.3,0.07,0.110333333333333,25.6353333333333,88.8,10.8,0.4,Abies grandis,NA
16S,R-061,R-061_16S,16S amplicons from GrandFir sample R-061,3,Q061,ND,0Burn_W2,0,GrandFir,SRR27553951,PRJNA1064977,R-061_S137_L001_R1_001.fastq.gz,R-061_S137_L001_R2_001.fastq.gz,1,6,35,2.2,6.4,NA,0.2627,0.7386,R-061,2,0,1.33333333333333,8.1,7.66666666666667,92.3333333333333,6,0.043333333333333,6.40666666666667,6.16666666666667,0.086666666666667,0.266666666666667,16,0.433333333333333,29,1.83333333333333,0.333333333333333,0.036666666666667,0.166333333333333,26.2156666666667,80.8,18.8,0.4,Abies grandis,NA
16S,R-062,R-062_16S,16S amplicons from Snowbrush sample R-062,3,Q062,ND,3Burn_W6,3,Snowbrush,SRR27553940,PRJNA1064977,R-062_S27_L001_R1_001.fastq.gz,R-062_S27_L001_R2_001.fastq.gz,1,0,32,4.2,6.3,198,1.8504,2.2624,R-062,6,3,8.53333333333333,6.2,7.66666666666667,59.3333333333333,4.66666666666667,0.103333333333333,5.67,5.73333333333333,0.053333333333333,0.733333333333333,10.2333333333333,0.766666666666667,23,2.86666666666667,0.4,0.046666666666667,0.156666666666667,21.452,90.8,8.8,0.4,Ceanothus velutinus,NA
16S,R-063,R-063_16S,16S amplicons from GrandFir sample R-063,3,Q063,ND,3Burn_W6,3,GrandFir,SRR27554105,PRJNA1064977,R-063_S149_L001_R1_001.fastq.gz,R-063_S149_L001_R2_001.fastq.gz,1,5,46,2.1,4.1,NA,0.1622,0.3943,R-063,6,3,8.53333333333333,6.2,7.66666666666667,59.3333333333333,4.66666666666667,0.103333333333333,5.67,5.73333333333333,0.053333333333333,0.733333333333333,10.2333333333333,0.766666666666667,23,2.86666666666667,0.4,0.046666666666667,0.156666666666667,21.452,90.8,8.8,0.4,Abies grandis,NA
16S,R-064,R-064_16S,16S amplicons from GrandFir sample R-064,3,Q064,D,0Burn_W2,0,GrandFir,SRR27554104,PRJNA1064977,R-064_S161_L001_R1_001.fastq.gz,R-064_S161_L001_R2_001.fastq.gz,2,5,55,2.2,6.5,NA,0.2704,0.6444,R-064,2,0,1.33333333333333,8.1,7.66666666666667,92.3333333333333,6,0.043333333333333,6.40666666666667,6.16666666666667,0.086666666666667,0.266666666666667,16,0.433333333333333,29,1.83333333333333,0.333333333333333,0.036666666666667,0.166333333333333,26.2156666666667,80.8,18.8,0.4,Abies grandis,NA
16S,R-065,R-065_16S,16S amplicons from Snowbrush sample R-065,3,Q065,ND,Sterile,NA,Snowbrush,SRR27554103,PRJNA1064977,R-065_S39_L001_R1_001.fastq.gz,R-065_S39_L001_R2_001.fastq.gz,1,0,30,3,5.4,0,0.5346,0.6725,R-065,Sterile,NA,2.45,19.1,6.16666666666667,52.8333333333333,8.5,0.04,4.825,5.73333333333333,0.11,0.25,63.2833333333333,0.533333333333333,14.8333333333333,1.55,0.3,0.07,0.110333333333333,25.6353333333333,88.8,10.8,0.4,Ceanothus velutinus,NA
16S,R-066,R-066_16S,16S amplicons from GrandFir sample R-066,3,Q066,ND,3Burn_W5,3,GrandFir,SRR27554102,PRJNA1064977,R-066_S173_L001_R1_001.fastq.gz,R-066_S173_L001_R2_001.fastq.gz,1,7,45,2.2,7.4,NA,0.3042,0.7542,R-066,5,3,14.5333333333333,7.16666666666667,7,82,4.33333333333333,0.153333333333333,7.07333333333333,6.3,0.113333333333333,0.866666666666667,15.5666666666667,0.833333333333333,23,4.96666666666667,0.566666666666667,0.05,0.239333333333333,17.4663333333333,86.8,10.8,2.4,Abies grandis,NA
16S,R-067,R-067_16S,16S amplicons from Snowbrush sample R-067,3,Q067,ND,0Burn_W2,0,Snowbrush,SRR27554101,PRJNA1064977,R-067_S51_L001_R1_001.fastq.gz,R-067_S51_L001_R2_001.fastq.gz,1,0,30,3,5.8,0,0.6167,1.5528,R-067,2,0,1.33333333333333,8.1,7.66666666666667,92.3333333333333,6,0.043333333333333,6.40666666666667,6.16666666666667,0.086666666666667,0.266666666666667,16,0.433333333333333,29,1.83333333333333,0.333333333333333,0.036666666666667,0.166333333333333,26.2156666666667,80.8,18.8,0.4,Ceanothus velutinus,NA
16S,R-068,R-068_16S,16S amplicons from Snowbrush sample R-068,3,Q068,D,3Burn_W6,3,Snowbrush,SRR27554100,PRJNA1064977,R-068_S63_L001_R1_001.fastq.gz,R-068_S63_L001_R2_001.fastq.gz,6,0,16,2.1,5.4,29,0.404,0.635,R-068,6,3,8.53333333333333,6.2,7.66666666666667,59.3333333333333,4.66666666666667,0.103333333333333,5.67,5.73333333333333,0.053333333333333,0.733333333333333,10.2333333333333,0.766666666666667,23,2.86666666666667,0.4,0.046666666666667,0.156666666666667,21.452,90.8,8.8,0.4,Ceanothus velutinus,NA
16S,R-069,R-069_16S,16S amplicons from Snowbrush sample R-069,3,Q069,D,1Burn_W4,1,Snowbrush,SRR27554098,PRJNA1064977,R-069_S75_L001_R1_001.fastq.gz,R-069_S75_L001_R2_001.fastq.gz,6,0,25,2,5.6,0,0.304,0.5993,R-069,4,1,4.16666666666667,10.4333333333333,8.33333333333333,72.3333333333333,9.66666666666667,0.05,5.97666666666667,6,0.033333333333333,0.333333333333333,12.2,0.733333333333333,20.6666666666667,1.5,0.333333333333333,0.056666666666667,0.103,17.1983333333333,88.8,10.8,0.4,Ceanothus velutinus,NA
16S,R-070,R-070_16S,16S amplicons from Snowbrush sample R-070,3,Q070,ND,1Burn_W3,1,Snowbrush,SRR27554097,PRJNA1064977,R-070_S87_L001_R1_001.fastq.gz,R-070_S87_L001_R2_001.fastq.gz,1,0,28,2.8,5,0,0.5647,0.851,R-070,3,1,1.7,4.96666666666667,7.33333333333333,61.6666666666667,11.3333333333333,0.07,5.18333333333333,6.36666666666667,0.416666666666667,0.1,10.1,0.666666666666667,15.3333333333333,2.03333333333333,0.3,0.04,0.099,27.1886666666667,82.8,16.8,0.4,Ceanothus velutinus,NA
16S,R-071,R-071_16S,16S amplicons from GrandFir sample R-071,3,Q071,ND,0Burn_W1,0,GrandFir,SRR27554096,PRJNA1064977,R-071_S185_L001_R1_001.fastq.gz,R-071_S185_L001_R2_001.fastq.gz,1,6,34,1.9,5.6,NA,0.1564,0.4984,R-071,1,0,1.36666666666667,10.0666666666667,10,108,12,0.036666666666667,7.89333333333333,5.96666666666667,0.096666666666667,0.733333333333333,26.3,0.533333333333333,58,1.66666666666667,0.4,0.043333333333333,0.179,26.3323333333333,80.8,18.8,0.4,Abies grandis,NA
16S,R-072,R-072_16S,16S amplicons from Snowbrush sample R-072,3,Q072,D,3Burn_W5,3,Snowbrush,SRR27554095,PRJNA1064977,R-072_S4_L001_R1_001.fastq.gz,R-072_S4_L001_R2_001.fastq.gz,6,0,23,2.8,4,8,0.6463,1.1985,R-072,5,3,14.5333333333333,7.16666666666667,7,82,4.33333333333333,0.153333333333333,7.07333333333333,6.3,0.113333333333333,0.866666666666667,15.5666666666667,0.833333333333333,23,4.96666666666667,0.566666666666667,0.05,0.239333333333333,17.4663333333333,86.8,10.8,2.4,Ceanothus velutinus,NA
16S,R-073,R-073_16S,16S amplicons from GrandFir sample R-073,3,Q073,D,0Burn_W1,0,GrandFir,SRR27554094,PRJNA1064977,R-073_S102_L001_R1_001.fastq.gz,R-073_S102_L001_R2_001.fastq.gz,1,6,34,1.9,5.6,NA,0.115,0.2894,R-073,1,0,1.36666666666667,10.0666666666667,10,108,12,0.036666666666667,7.89333333333333,5.96666666666667,0.096666666666667,0.733333333333333,26.3,0.533333333333333,58,1.66666666666667,0.4,0.043333333333333,0.179,26.3323333333333,80.8,18.8,0.4,Abies grandis,NA
