amplicon,sample_name,block,unique_id,drought,inoculum,fire_freq,species,other_frompreviouscolumn,control,filename_r1,filename_r2,wilting_scale,bud_number,leaf_number,leaf_length,height,nodule_num,shoot_dm,final_root_dm,seqtab_rows,inoculum_site,inoculum_burn_freq,mean_NO3,mean_NH4,mean_P,mean_K,mean_SO4_S,mean_B,mean_OM,mean_pH,mean_EC,mean_Zn,mean_Mn,mean_Cu,mean_Fe,mean_Ca,mean_Mg,mean_Na,mean_TKN,mean_C_N_ratio,mean_Sand,mean_Silt,mean_Clay
ITS2,F-R-168,6,Q168,D,1Burn_W4,1,GrandFir,NA,NA,F-R-168_S332_L001_R1_001.fastq.gz,F-R-168_S332_L001_R2_001.fastq.gz,2,4,58,2,6.5,NA,0.3275,0.6929,F-R-168,4,1,4.166666666666667,10.433333333333334,8.333333333333334,72.33333333333333,9.666666666666666,0.05,5.976666666666667,6,0.03333333333333333,0.3333333333333333,12.2,0.7333333333333333,20.666666666666668,1.5,0.3333333333333333,0.05666666666666667,0.103,17.198333333333334,88.8,10.8,0.4
ITS2,F-R-197,8,Q197,D,Sterile,NA,Snowbrush,NA,NA,F-R-197_S258_L001_R1_001.fastq.gz,F-R-197_S258_L001_R2_001.fastq.gz,6,0,5,0.8,2.8,0,0.2063,NA,F-R-197,Sterile,NA,2.45,19.099999999999998,6.166666666666667,52.833333333333336,8.5,0.04,4.825,5.733333333333333,0.11,0.25,63.28333333333333,0.5333333333333333,14.833333333333334,1.55,0.30000000000000004,0.06999999999999999,0.11033333333333334,25.63533333333333,88.8,10.8,0.4
ITS2,F-R-198,8,Q198,ND,0Burn_W1,0,GrandFir,NA,NA,F-R-198_S344_L001_R1_001.fastq.gz,F-R-198_S344_L001_R2_001.fastq.gz,1,3,17,1,4.6,NA,0.2196,NA,F-R-198,1,0,1.3666666666666667,10.066666666666666,10,108,12,0.03666666666666667,7.8933333333333335,5.966666666666667,0.09666666666666666,0.7333333333333334,26.299999999999997,0.5333333333333333,58,1.6666666666666667,0.39999999999999997,0.043333333333333335,0.179,26.332333333333334,80.8,18.8,0.4
ITS2,F-R-199,8,Q199,D,0Burn_W1,0,GrandFir,NA,NA,F-R-199_S356_L001_R1_001.fastq.gz,F-R-199_S356_L001_R2_001.fastq.gz,1,4,57,1.6,5.6,NA,0.3255,0.5877,F-R-199,1,0,1.3666666666666667,10.066666666666666,10,108,12,0.03666666666666667,7.8933333333333335,5.966666666666667,0.09666666666666666,0.7333333333333334,26.299999999999997,0.5333333333333333,58,1.6666666666666667,0.39999999999999997,0.043333333333333335,0.179,26.332333333333334,80.8,18.8,0.4
ITS2,F-R-200,8,Q200,ND,0Burn_W2,0,GrandFir,NA,NA,F-R-200_S368_L001_R1_001.fastq.gz,F-R-200_S368_L001_R2_001.fastq.gz,1,5,36,2.4,6.6,NA,0.4149,0.6459,F-R-200,2,0,1.3333333333333333,8.1,7.666666666666667,92.33333333333333,6,0.043333333333333335,6.406666666666667,6.166666666666667,0.08666666666666667,0.26666666666666666,16,0.43333333333333335,29,1.8333333333333333,0.3333333333333333,0.03666666666666667,0.16633333333333333,26.215666666666667,80.8,18.8,0.4
ITS2,F-R-201,8,Q201,ND,0Burn_W1,0,Snowbrush,NA,NA,F-R-201_S270_L001_R1_001.fastq.gz,F-R-201_S270_L001_R2_001.fastq.gz,1,0,20,2.3,5.4,0,0.5148,0.8102,F-R-201,1,0,1.3666666666666667,10.066666666666666,10,108,12,0.03666666666666667,7.8933333333333335,5.966666666666667,0.09666666666666666,0.7333333333333334,26.299999999999997,0.5333333333333333,58,1.6666666666666667,0.39999999999999997,0.043333333333333335,0.179,26.332333333333334,80.8,18.8,0.4
ITS2,F-R-202,8,Q202,D,1Burn_W3,1,GrandFir,NA,NA,F-R-202_S380_L001_R1_001.fastq.gz,F-R-202_S380_L001_R2_001.fastq.gz,1,3,16,1.1,5,NA,0.2252,NA,F-R-202,3,1,1.7,4.966666666666667,7.333333333333333,61.666666666666664,11.333333333333334,0.07,5.183333333333334,6.366666666666667,0.4166666666666667,0.1,10.1,0.6666666666666666,15.333333333333334,2.033333333333333,0.3,0.04,0.099,27.188666666666666,82.8,16.8,0.4
ITS2,F-R-203,8,Q203,D,1Burn_W3,1,Snowbrush,NA,NA,F-R-203_S282_L001_R1_001.fastq.gz,F-R-203_S282_L001_R2_001.fastq.gz,2,0,17,3,4.6,0,0.4234,0.8392,F-R-203,3,1,1.7,4.966666666666667,7.333333333333333,61.666666666666664,11.333333333333334,0.07,5.183333333333334,6.366666666666667,0.4166666666666667,0.1,10.1,0.6666666666666666,15.333333333333334,2.033333333333333,0.3,0.04,0.099,27.188666666666666,82.8,16.8,0.4
ITS2,F-R-204,8,Q204,D,0Burn_W2,0,Snowbrush,NA,NA,F-R-204_S199_L001_R1_001.fastq.gz,F-R-204_S199_L001_R2_001.fastq.gz,6,0,17,2.5,4.1,1,0.6175,1.1043,F-R-204,2,0,1.3333333333333333,8.1,7.666666666666667,92.33333333333333,6,0.043333333333333335,6.406666666666667,6.166666666666667,0.08666666666666667,0.26666666666666666,16,0.43333333333333335,29,1.8333333333333333,0.3333333333333333,0.03666666666666667,0.16633333333333333,26.215666666666667,80.8,18.8,0.4
ITS2,F-R-205,8,Q205,ND,3Burn_W6,3,GrandFir,NA,NA,F-R-205_S297_L001_R1_001.fastq.gz,F-R-205_S297_L001_R2_001.fastq.gz,1,4,29,1.5,5.5,NA,0.2876,0.4922,F-R-205,6,3,8.533333333333333,6.2,7.666666666666667,59.333333333333336,4.666666666666667,0.10333333333333333,5.67,5.733333333333333,0.05333333333333334,0.7333333333333334,10.233333333333334,0.7666666666666667,23,2.8666666666666667,0.4,0.04666666666666667,0.15666666666666668,21.451999999999998,90.8,8.8,0.4
