amplicon,sample_name,block,unique_id,drought,inoculum,fire_freq,species,other_frompreviouscolumn,control,filename_r1,filename_r2,wilting_scale,bud_number,leaf_number,leaf_length,height,nodule_num,shoot_dm,final_root_dm,seqtab_rows
16S,R-025,1,Q025,D,0Burn_W1,0,GrandFir,NA,NA,R-025_S148_L001_R1_001.fastq.gz,R-025_S148_L001_R2_001.fastq.gz,1,6,49,2.2000000000000002,6.5,NA,0.2379,0.39560000000000001,R-025
16S,R-026,1,Q026,D,1Burn_W3,1,GrandFir,NA,NA,R-026_S160_L001_R1_001.fastq.gz,R-026_S160_L001_R2_001.fastq.gz,1,8,28,1.4,5.7,NA,0.15659999999999999,0.21129999999999999,R-026
16S,R-027,1,Q027,ND,0Burn_W1,0,GrandFir,NA,NA,R-027_S172_L001_R1_001.fastq.gz,R-027_S172_L001_R2_001.fastq.gz,1,5,69,2.5,6.5,NA,0.35289999999999999,0.70220000000000005,R-027
16S,R-028,1,Q028,ND,1Burn_W3,1,Snowbrush,NA,NA,R-028_S86_L001_R1_001.fastq.gz,R-028_S86_L001_R2_001.fastq.gz,3,0,15,1.8,3.5,0,0.40760000000000002,0.74819999999999998,R-028
16S,R-043,2,Q043,ND,1Burn_W3,1,GrandFir,NA,NA,R-043_S184_L001_R1_001.fastq.gz,R-043_S184_L001_R2_001.fastq.gz,1,4,41,1.8,4.5,NA,0.14119999999999999,0.17430000000000001,R-043
16S,R-057,3,Q057,ND,1Burn_W4,1,Snowbrush,NA,NA,R-057_S15_L001_R1_001.fastq.gz,R-057_S15_L001_R2_001.fastq.gz,1,0,22,3,6.5,0,0.53990000000000005,0.93579999999999997,R-057
16S,R-058,3,Q058,D,3Burn_W6,3,GrandFir,NA,NA,R-058_S101_L001_R1_001.fastq.gz,R-058_S101_L001_R2_001.fastq.gz,1,4,52,1.7,6.4,NA,0.2137,0.3377,R-058
16S,R-059,3,Q059,ND,1Burn_W4,1,GrandFir,NA,NA,R-059_S113_L001_R1_001.fastq.gz,R-059_S113_L001_R2_001.fastq.gz,1,7,46,2.5,7.9,NA,0.34,0.83799999999999997,R-059
16S,R-060,3,Q060,ND,Sterile,NA,GrandFir,NA,NA,R-060_S125_L001_R1_001.fastq.gz,R-060_S125_L001_R2_001.fastq.gz,1,3,54,1.5,6.5,NA,0.17549999999999999,0.1646,R-060
16S,R-061,3,Q061,ND,0Burn_W2,0,GrandFir,NA,NA,R-061_S137_L001_R1_001.fastq.gz,R-061_S137_L001_R2_001.fastq.gz,1,6,35,2.2000000000000002,6.4,NA,0.26269999999999999,0.73860000000000003,R-061
